altercate, altercated, altercated, altercating
alternate, alternated, alternated, alternating
aluminise, aluminised, aluminised, aluminising
aluminize, aluminized, aluminized, aluminizing
amalgamate, amalgamated, amalgamated, amalgamating
amass, amassed, amassed, amassing
amaze, amazed, amazed, amazing
ambition, ambitioned, ambitioned, ambitioning
amble, ambled, ambled, ambling
ambulate, ambulated, ambulated, ambulating
ambuscade, ambuscaded, ambuscaded, ambuscading
ambush, ambushed, ambushed, ambushing
ameliorate, ameliorated, ameliorated, ameliorating
amend, amended, amended, amending
amerce, amerced, amerced, amercing
americanise, americanised, americanised, americanising
americanize, americanized, americanized, americanizing
ammoniate, ammoniated, ammoniated, ammoniating
ammonify, ammonified, ammonified, ammonifying
amnesty, amnestied, amnestied, amnestying
amortise, amortised, amortised, amortising
amortize, amortized, amortized, amortizing
amount, amounted, amounted, amounting
amplify, amplified, amplified, amplifying
amputate, amputated, amputated, amputating
amuse, amused, amused, amusing
anaesthetise, anaesthetised, anaesthetised, anaesthetising
anaesthetize, anaesthetized, anaesthetized, anaesthetizing
anagram, anagramed, anagramed, anagraming
anagrammatise, anagrammatised, anagrammatised, anagrammatising
anagrammatize, anagrammatized, anagrammatized, anagrammatizing
analogise, analogised, analogised, analogising
analogize, analogized, analogized, analogizing
analyse, analysed, analysed, analysing
analyze, analyzed, analyzed, analyzing
anastomose, anastomosed, anastomosed, anastomosing
anathematise, anathematised, anathematised, anathematising
anathematize, anathematized, anathematized, anathematizing
anathemise, anathemised, anathemised, anathemising
anathemize, anathemized, anathemized, anathemizing
anatomise, anatomised, anatomised, anatomising
anatomize, anatomized, anatomized, anatomizing
anchor, anchored, anchored, anchoring
ancylose, ancylosed, ancylosed, ancylosing
anele, aneled, aneled, aneling
anesthetise, anesthetised, anesthetised, anesthetising
anesthetize, anesthetized, anesthetized, anesthetizing
anger, angered, angered, angering
angle, angled, angled, angling
angle-park, angle-parked, angle-parked, angle-parking
anglicise, anglicised, anglicised, anglicising
anglicize, anglicized, anglicized, anglicizing
anguish, anguished, anguished, anguishing
angulate, angulated, angulated, angulating
animadvert, animadverted, animadverted, animadverting
animalise, animalised, animalised, animalising
animalize, animalized, animalized, animalizing
animate, animated, animated, animating
animise, animised, animised, animising
animize, animized, animized, animizing
ankylose, ankylosed, ankylosed, ankylosing
anneal, annealed, annealed, annealing
annex, annexed, annexed, annexing
annihilate, annihilated, annihilated, annihilating
annotate, annotated, annotated, annotating
announce, announced, announced, announcing
annoy, annoied, annoied, annoying
annul, annuled, annuled, annuling
annunciate, annunciated, annunciated, annunciating
anodise, anodised, anodised, anodising
anodize, anodized, anodized, anodizing
anoint, anointed, anointed, anointing
answer, answered, answered, answering
antagonise, antagonised, antagonised, antagonising
antagonize, antagonized, antagonized, antagonizing
ante, anted, anted, anting
antecede, anteceded, anteceded, anteceding
antedate, antedated, antedated, antedating
anthologise, anthologised, anthologised, anthologising
anthologize, anthologized, anthologized, anthologizing
anthropomorphise, anthropomorphised, anthropomorphised, anthropomorphising
anthropomorphize, anthropomorphized, anthropomorphized, anthropomorphizing
antic, anticed, anticed, anticing
anticipate, anticipated, anticipated, anticipating
antiquate, antiquated, antiquated, antiquating
antique, antiqued, antiqued, antiquing
antisepticize, antisepticized, antisepticized, antisepticizing
ape, aped, aped, aping
aphorise, aphorised, aphorised, aphorising
aphorize, aphorized, aphorized, aphorizing
apologise, apologised, apologised, apologising
apologize, apologized, apologized, apologizing
apostatise, apostatised, apostatised, apostatising
apostatize, apostatized, apostatized, apostatizing
apostrophise, apostrophised, apostrophised, apostrophising
apostrophize, apostrophized, apostrophized, apostrophizing
apotheose, apotheosed, apotheosed, apotheosing
apotheosise, apotheosised, apotheosised, apotheosising
apotheosize, apotheosized, apotheosized, apotheosizing
appal, appaled, appaled, appaling
appall, appalled, appalled, appalling
apparel, appareled, appareled, appareling
appeal, appealed, appealed, appealing
appear, appeared, appeared, appearing
appease, appeased, appeased, appeasing
append, appended, appended, appending
apperceive, apperceived, apperceived, apperceiving
appertain, appertained, appertained, appertaining
applaud, applauded, applauded, applauding
applique, appliqued, appliqued, appliquing
apply, applied, applied, applying
appoint, appointed, appointed, appointing
apportion, apportioned, apportioned, apportioning
appose, apposed, apposed, apposing
appraise, appraised, appraised, appraising
appreciate, appreciated, appreciated, appreciating
apprehend, apprehended, apprehended, apprehending
apprentice, apprenticed, apprenticed, apprenticing
apprise, apprised, apprised, apprising
apprize, apprized, apprized, apprizing
approach, approached, approached, approaching
